dataset,model,evaluation,MAE,RMSE,R2
FD001,Linear Regression,all_cycles,16.64220419101686,20.750289768024246,0.43391082418547566
FD001,Random Forest,all_cycles,12.446675394652685,17.158479184083866,0.6129259081084806
FD001,Gradient Boosting,all_cycles,12.61762402502377,17.34661476534956,0.6043911606886918
FD002,Linear Regression,all_cycles,18.024788544386695,22.16459621136959,0.4088113786865746
FD002,Random Forest,all_cycles,15.905459335956563,19.63516406997518,0.5360453968500288
FD002,Gradient Boosting,all_cycles,17.395130854086755,20.763958242681426,0.4811680498517966
FD003,Linear Regression,all_cycles,13.626350940475888,17.964969126484355,0.47681138279435686
FD003,Random Forest,all_cycles,9.252998610128175,14.367105823292864,0.6653861463912039
FD003,Gradient Boosting,all_cycles,9.607541049548326,14.585437963891493,0.6551388396585763
FD004,Linear Regression,all_cycles,15.865902859491746,20.181945411003028,0.37183393967559875
FD004,Random Forest,all_cycles,12.396637271215527,17.3314663746529,0.536746156340554
FD004,Gradient Boosting,all_cycles,13.903127068151372,18.465746507523193,0.47412545123858985
